,mud,rho,delta1,HM_CI_L,HM_CI_U,DL_CI_L,DL_CI_U,BA_CI_L,BA_CI_U,delta2,LI_CI_L,LI_CI_U,delta3,HE_CI_L,HE_CI_U,HE_CIvst_L,HE_CIvst_U
1,0.5,-0.8,0.230677778,0.082276907,0.379078649,0.085894593,0.375460963,0.086501432,0.374854123,0.227623926,0.091132111,0.36813818,0.222862346,0.082097162,0.363627531,0.105677703,0.387208072
2,0.5,-0.7,0.191245556,0.041015332,0.341475779,0.047040005,0.335451106,0.047542524,0.334948587,0.188342908,0.051923923,0.32750394,0.186037641,0.045935371,0.326139911,0.074555737,0.354762819
3,0.5,-0.6,0.158506667,0.007415548,0.309597785,0.016090909,0.300922424,0.016464054,0.30054928,0.157046335,0.022204556,0.294037458,0.155300309,0.017625815,0.292974803,0.051297164,0.326667595
4,0.5,-0.5,0.143252222,-0.007304945,0.29380939,0.002526519,0.283977926,0.002828912,0.283675532,0.141232421,0.008496023,0.275834182,0.142030397,0.005754575,0.27830622,0.041939047,0.3145391
5,0.5,-0.4,0.131125556,-0.0190717,0.281322811,-0.008083849,0.270334961,-0.007847692,0.270098804,0.128472484,-0.002564492,0.261167947,0.131445482,-0.003183795,0.26607476,0.035221498,0.304610143
6,0.5,-0.3,0.119143333,-0.031164574,0.269451241,-0.019320007,0.257606674,-0.019122579,0.257409245,0.118654235,-0.011525503,0.250290708,0.122006621,-0.010068661,0.254081903,0.029570185,0.293823655
7,0.5,-0.2,0.116401111,-0.033869021,0.266671243,-0.021328184,0.254130407,-0.021149111,0.253951333,0.115109113,-0.014754754,0.246223155,0.121754269,-0.007463281,0.250971819,0.030887864,0.289388571
8,0.5,-0.1,0.1135,-0.037263807,0.264263807,-0.024289226,0.251289226,-0.024119376,0.251119376,0.11224304,-0.017776032,0.243568323,0.121012329,-0.006106482,0.24813114,0.031453664,0.285532626
9,0.5,0,0.111616667,-0.040152078,0.263385411,-0.027792982,0.251026315,-0.027585163,0.250818497,0.111108928,-0.019782375,0.243164124,0.123551862,-0.001784828,0.248888552,0.034789768,0.28494092
10,0.5,0.1,0.107901111,-0.041591732,0.257393954,-0.028201708,0.24400393,-0.028085736,0.243887958,0.106241442,-0.021922014,0.2357509,0.124789144,0.004572458,0.245005829,0.03788707,0.278360591
11,0.5,0.2,0.107241111,-0.043271133,0.257753355,-0.030543304,0.245025526,-0.030382978,0.2448652,0.106210475,-0.023119603,0.236602533,0.130751977,0.012416337,0.249087618,0.043995677,0.279878214
12,0.5,0.3,0.101567778,-0.046180825,0.24931638,-0.032018322,0.235153878,-0.03197145,0.235107006,0.100228882,-0.025230783,0.227207242,0.130973245,0.016251944,0.245694545,0.046122788,0.273948553
13,0.5,0.4,0.100085556,-0.049262136,0.249433247,-0.035368421,0.235539532,-0.035269705,0.235440816,0.099417549,-0.027857692,0.228146079,0.137381962,0.023660917,0.251103007,0.05187049,0.276528351
14,0.5,0.5,0.100917778,-0.048114362,0.249949918,-0.034311645,0.236147201,-0.034215318,0.236050874,0.100681114,-0.026228889,0.228808084,0.143435351,0.029736311,0.257134391,0.058959041,0.280587184
15,0.5,0.6,0.09776,-0.052137404,0.247657404,-0.038067686,0.233587686,-0.037968006,0.233488006,0.097545339,-0.029915034,0.226121683,0.145586665,0.029196892,0.261976439,0.059526379,0.285762074
16,0.5,0.7,0.096685556,-0.051416388,0.244787499,-0.03709495,0.230466062,-0.037043081,0.230414192,0.095575296,-0.029898685,0.222352519,0.139117848,0.019513962,0.258721733,0.05695908,0.285325086
17,0.5,0.8,0.094495556,-0.053057894,0.242049005,-0.038479991,0.227471102,-0.038450308,0.227441419,0.09208472,-0.032635437,0.217942157,0.124720786,0.002520298,0.246921273,0.044409334,0.279920305
